                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7466,                 1.3058,                 1.3108,                 0.7992,                0.91517,                0.85019,                0.40743,                 1.7439,                 1.3309,                 1.4908,               0.067601,             0.00053284,             0.00053284
                      2,                 1.6724,                0.86445,                  1.277,                0.85619,                0.92512,                0.89206,                0.44566,                 1.6673,                 1.6674,                 1.5311,               0.034786,              0.0010509,              0.0010509
                      3,                 1.6583,                0.84498,                 1.2738,                0.92548,                0.96248,                0.97042,                0.49545,                 1.6038,                0.90417,                 1.4548,              0.0019493,              0.0015477,              0.0015477
                      4,                 1.6406,                0.83573,                 1.2627,                0.90873,                0.91939,                0.95535,                0.49591,                 1.6213,                0.87081,                 1.4721,              0.0015219,              0.0015219,              0.0015219
                      5,                  1.615,                0.79605,                 1.2608,                0.93343,                0.95572,                0.97424,                0.50961,                 1.5925,                0.81769,                 1.4398,              0.0015219,              0.0015219,              0.0015219
                      6,                 1.6147,                0.77045,                 1.2389,                0.92585,                0.96092,                0.96435,                0.49982,                 1.5808,                0.77257,                 1.4445,              0.0014899,              0.0014899,              0.0014899
                      7,                 1.5926,                0.74647,                 1.2362,                0.95549,                 0.9694,                0.98252,                0.52476,                 1.5667,                0.74773,                  1.396,              0.0014578,              0.0014578,              0.0014578
                      8,                 1.5928,                 0.7528,                 1.2334,                0.96618,                0.97039,                0.98386,                0.54547,                 1.5464,                0.68136,                 1.4041,              0.0014258,              0.0014258,              0.0014258
                      9,                 1.5662,                0.72193,                 1.2228,                0.97606,                0.97207,                0.98615,                0.55548,                 1.5147,                0.65888,                 1.3684,              0.0013937,              0.0013937,              0.0013937
                     10,                 1.5545,                 0.7122,                 1.2151,                0.96796,                 0.9762,                0.98666,                0.53667,                  1.564,                0.68899,                 1.3939,              0.0013617,              0.0013617,              0.0013617
                     11,                 1.5484,                0.70165,                 1.2257,                0.95162,                0.96739,                0.97721,                0.55537,                 1.4986,                0.68846,                 1.3609,              0.0013297,              0.0013297,              0.0013297
                     12,                 1.5354,                0.70267,                 1.2076,                0.96761,                0.97388,                0.98549,                0.54358,                 1.5461,                0.65802,                 1.3675,              0.0012976,              0.0012976,              0.0012976
                     13,                 1.5216,                0.67868,                 1.2038,                0.97867,                0.97826,                0.98995,                0.56812,                 1.4948,                0.64032,                 1.3435,              0.0012656,              0.0012656,              0.0012656
                     14,                 1.5166,                0.67081,                 1.2065,                0.95786,                0.97699,                0.98921,                0.56453,                 1.4976,                0.62244,                 1.3513,              0.0012336,              0.0012336,              0.0012336
                     15,                 1.5002,                0.66037,                 1.2007,                0.98537,                0.97146,                0.99092,                0.57797,                 1.4691,                0.60384,                 1.3388,              0.0012015,              0.0012015,              0.0012015
                     16,                 1.4806,                0.64802,                 1.1832,                0.98465,                0.97449,                   0.99,                0.57932,                 1.4812,                0.61949,                 1.3431,              0.0011695,              0.0011695,              0.0011695
                     17,                 1.4744,                0.65039,                 1.1836,                0.96493,                0.98058,                0.98441,                0.57298,                 1.4776,                0.60893,                 1.3356,              0.0011375,              0.0011375,              0.0011375
                     18,                 1.4811,                 0.6541,                 1.1882,                0.98324,                0.97136,                0.98964,                 0.5846,                 1.4459,                0.59146,                 1.3205,              0.0011054,              0.0011054,              0.0011054
                     19,                 1.4608,                0.63505,                 1.1882,                0.98238,                0.98148,                0.99118,                0.59067,                 1.4353,                0.57408,                 1.3153,              0.0010734,              0.0010734,              0.0010734
                     20,                  1.446,                0.62806,                 1.1798,                 0.9832,                0.98303,                0.99044,                0.59256,                 1.4387,                0.56857,                 1.3151,              0.0010413,              0.0010413,              0.0010413
